label,socre,x1,y1,x2,y2
1,0.99086624,617.61273,217.97977,691.9703,299.21555
1,0.9904151,406.84933,351.02872,474.19482,417.84592
1,0.98353136,454.6617,499.3381,520.9,569.5554
1,0.98226583,496.1695,601.0374,558.8338,667.36
1,0.92056507,229.61365,531.25946,286.4305,593.8093
1,0.91903853,293.0041,456.2345,351.58392,520.4445
1,0.91095525,96.0304,257.37646,148.24156,315.52847
1,0.906302,155.82353,440.41104,219.28203,504.03796
1,0.8807302,823.4401,659.8247,875.468,730.2093
1,0.8256066,418.89352,245.7415,484.9303,309.64807
1,0.8217725,421.45712,648.3681,479.37778,711.5683
