label,socre,x1,y1,x2,y2
2,0.9985228,321.5963,547.9615,386.05386,612.50574
2,0.99809724,514.23065,252.64648,570.1245,308.41162
2,0.99474216,324.06958,179.47983,385.18674,241.23389
2,0.99434763,526.22266,516.0927,592.2136,563.6413
2,0.98723143,14.622406,158.98618,81.15418,218.3933
2,0.98466486,360.4824,452.91455,415.10822,507.05942
2,0.96891505,51.32473,435.35336,118.62175,488.56406
2,0.9316722,593.40216,30.457115,660.3305,84.08975
2,0.91833264,143.0028,231.71437,197.46617,295.12323
2,0.9035894,447.15674,23.896559,519.48334,93.80842
2,0.84765327,628.8583,710.5655,690.3034,762.19574
