label,socre,x1,y1,x2,y2
2,0.99764985,356.48065,154.29698,458.153,259.7025
2,0.9942638,544.3785,516.5997,642.6071,604.4528
2,0.9936872,163.8329,524.61694,271.49295,621.3734
2,0.9897641,630.5455,640.8713,749.1927,741.78424
2,0.98565096,152.53409,336.34683,247.3281,432.29016
2,0.98219395,365.8193,510.33035,502.86047,612.508
1,0.974269,44.262245,635.7076,185.98068,761.7338
2,0.9631189,277.7532,667.76587,364.1499,759.909
1,0.9443176,79.746826,64.88299,247.26152,198.75714
1,0.88867897,288.8373,294.26495,441.40802,418.18582
2,0.8357758,554.4635,339.46646,692.42316,475.78815
2,0.83241665,702.0958,524.61896,792.931,622.38007
