label,socre,x1,y1,x2,y2
1,0.99958557,281.4456,464.15942,444.67758,635.98126
1,0.9961481,413.9253,117.86373,555.80524,231.39459
1,0.98603445,189.3244,449.4286,276.913,536.9538
2,0.98457783,535.81793,268.32803,634.12964,369.24832
2,0.9763134,559.9393,134.17552,675.01416,240.17062
2,0.9688364,69.21874,213.11586,168.7234,291.98065
2,0.95564777,262.382,72.550064,371.07593,181.56355
2,0.9388101,100.78528,86.672066,210.70813,191.35896
2,0.93439525,748.0494,151.47691,859.2746,284.75174
2,0.91805565,405.4118,294.5174,511.33408,392.95126
2,0.8983522,93.8017,392.59793,170.92438,472.41147
2,0.8110066,588.75946,421.47546,671.1974,504.36105
1,0.76527524,938.5541,280.8379,1017.76874,363.13312
