label,socre,x1,y1,x2,y2
1,0.9979876,611.2609,270.65057,774.98346,436.57324
1,0.99729013,316.10336,194.65637,485.50635,330.8484
1,0.9962962,19.18275,436.93295,191.50148,573.7027
1,0.9955876,568.907,49.45366,699.19586,192.45175
2,0.9929531,255.6271,625.5148,369.58008,727.7143
1,0.9890382,309.8446,406.19827,459.1344,525.93567
1,0.9766301,203.13776,50.709476,302.9414,154.18315
2,0.9668552,848.6585,220.22064,938.7645,329.2543
2,0.95246124,9.21654,119.13584,123.171776,242.73543
1,0.94292176,682.2189,567.58136,803.5729,700.1724
1,0.7593104,495.75873,483.156,593.3393,584.78503
