label,socre,x1,y1,x2,y2
2,0.9985001,252.10167,271.33252,364.08987,406.68393
2,0.9981018,184.44588,486.80865,313.34116,613.17096
2,0.9974362,364.3559,608.39764,504.18997,725.89075
2,0.99325716,439.99725,124.082344,603.7203,237.3873
1,0.989901,75.21261,43.787716,228.44601,167.14912
2,0.9848466,5.2973146,460.44025,124.99798,593.6646
2,0.98477685,64.815384,254.89517,183.42313,372.48227
2,0.9791164,729.87134,246.16464,864.7654,362.89487
2,0.9609076,754.8081,5.617441,882.04846,106.21373
2,0.941535,815.4242,527.7311,944.3239,661.6659
2,0.9050577,473.9032,326.26663,603.5357,450.8551
2,0.86918026,627.7608,466.81644,749.64154,605.7874
