label,socre,x1,y1,x2,y2
2,0.99812824,593.50726,39.256523,731.73206,191.9453
2,0.9959881,557.12573,535.11725,686.62573,670.8633
2,0.99588203,872.17737,99.64789,1008.83234,224.13058
2,0.9937914,412.2272,346.64844,556.6439,469.73813
2,0.9913762,63.8395,29.561102,199.17226,158.83452
2,0.98859394,7.0615544,283.61893,141.0211,411.69638
2,0.9862315,269.99823,249.73157,396.63028,364.26852
2,0.9617087,786.6987,597.55334,922.8981,733.8527
2,0.88552606,812.97327,285.74948,964.33136,437.66464
2,0.8332935,308.48834,6.2603173,452.6866,165.95755
2,0.81817925,351.7398,472.95932,420.68192,563.8188
