label,socre,x1,y1,x2,y2
2,0.997575,397.19305,350.42984,468.2424,437.81113
2,0.9958346,45.256187,527.7294,107.60832,600.66064
2,0.9940923,644.5988,496.21335,714.8984,576.12585
2,0.99221605,59.13396,137.73837,127.9566,221.46588
2,0.99107075,176.95593,318.86752,247.66496,413.28305
2,0.9782663,497.98703,639.3315,580.38763,726.87177
2,0.9782119,490.86124,24.357893,556.6114,89.813934
2,0.97809654,913.86725,593.66614,986.30206,658.05457
2,0.96771,529.8324,522.6516,607.2627,592.061
2,0.9179441,696.06006,616.6981,777.5872,697.87134
2,0.9070587,397.43176,144.43938,465.08707,218.07835
2,0.8660462,892.2306,298.35974,955.1299,376.54544
