label,socre,x1,y1,x2,y2
2,0.9894188,758.27246,382.0712,878.4064,512.25116
2,0.9865535,288.97803,142.72641,393.02176,236.11432
1,0.9384409,274.19272,602.4949,374.198,721.0599
1,0.9362101,397.8024,33.40806,492.93573,138.56009
1,0.91624993,19.140295,197.79242,124.43659,320.82733
2,0.90183485,444.07507,323.63638,571.3028,445.62436
2,0.8946915,205.86685,277.11047,335.7147,385.8492
2,0.893162,28.5876,27.299461,142.36978,129.70789
2,0.8582388,607.0593,306.03287,737.8417,418.04233
1,0.834291,455.1134,486.79092,551.6996,589.58167
2,0.7964771,539.8513,89.05556,665.695,194.63287
2,0.78842825,237.7031,441.13266,353.22238,543.0968
