label,socre,x1,y1,x2,y2
2,0.9972754,447.88364,251.00153,520.99756,301.2951
2,0.9965699,264.85477,206.81299,323.86182,290.78915
2,0.9897238,916.0632,297.54074,981.85345,371.44775
2,0.97537994,108.92554,652.4043,188.05057,723.15344
2,0.97347397,784.54565,384.67932,847.3422,460.2441
1,0.9656969,246.70105,646.6106,323.4345,718.52106
2,0.9567869,151.81564,409.18616,213.30925,498.6241
2,0.94418085,430.25513,552.2545,504.5347,650.23755
2,0.92920315,726.95496,126.82995,787.28156,200.80263
2,0.9179568,31.68794,238.38829,105.00041,311.86185
