label,socre,x1,y1,x2,y2
2,0.9980287,341.4475,291.94168,437.3593,388.80835
2,0.99800617,788.93494,610.6197,903.22656,706.223
2,0.9966425,695.3475,281.53073,822.50555,384.30707
2,0.99479926,175.79723,565.65875,281.31598,662.9395
2,0.99413484,110.73915,435.1436,207.68234,533.631
2,0.9922862,636.9038,560.5057,736.2381,659.5427
2,0.9918875,228.5808,263.44644,331.32944,357.5123
2,0.99181026,738.2478,490.22678,841.4259,579.3459
2,0.99062985,156.05524,156.08907,278.86853,262.17804
2,0.98158985,815.73303,118.96024,912.95795,221.12956
2,0.97813797,459.92627,558.6147,562.7171,667.2345
2,0.96277595,539.18585,23.989141,647.8992,120.37661
2,0.9596854,129.61821,307.53433,224.18681,409.0033
2,0.95934415,298.95523,78.834816,392.369,171.67657
2,0.9475438,353.78275,191.30472,436.98343,270.26697
2,0.88290626,100.28836,7.7713146,216.93771,102.37756
2,0.8528769,670.41327,159.36186,748.9005,231.92468
2,0.841011,861.96747,262.65622,945.90753,335.38882
2,0.8008864,477.3645,177.31163,544.8698,246.30766
