label,socre,x1,y1,x2,y2
2,0.9964425,430.16583,586.5517,550.8037,697.5096
2,0.9960687,730.49774,388.74017,835.82666,496.90036
2,0.9898391,711.64294,600.207,838.61255,722.77985
1,0.97135264,693.1981,300.338,783.4663,384.7047
2,0.968077,717.29407,84.88786,851.6376,212.99141
1,0.9512676,54.732178,484.72568,249.91882,626.4165
2,0.9241814,291.11993,633.656,384.06424,715.7592
2,0.9170955,877.14636,422.67862,975.81775,517.06055
1,0.8560181,290.99487,412.68192,419.03708,524.3233
2,0.8156538,520.5613,326.39105,641.49524,491.4132
