label,socre,x1,y1,x2,y2
1,0.99891686,426.95026,300.5434,600.77594,468.35062
2,0.99880636,431.36752,542.7258,540.3204,647.94977
1,0.9963863,166.53851,383.4729,303.59534,534.6603
1,0.99594253,323.50403,113.043304,439.10333,233.27669
2,0.9907679,136.58572,643.0877,234.29391,739.4631
2,0.9896198,309.16382,359.4382,401.0425,446.222
2,0.9887244,7.7753797,390.45206,99.690544,486.16168
2,0.94270504,585.95905,30.539299,680.1137,136.73477
2,0.942554,495.99448,96.560585,584.6671,188.28653
2,0.93815523,23.534838,649.63074,107.40978,732.04565
2,0.89083326,634.23724,204.54527,729.58136,297.12292
2,0.8188934,802.72815,253.51268,933.4045,405.31937
2,0.755772,81.774506,94.788734,229.5561,205.60616
