png_name,area,circumferfence,short dia,long dia,Count,aspect,labels
reshape-n1000,102.66658675756264,72.91421162154418,9.90114906855992,13.175584384373256,7.0,0.2485229664421518,1
reshape-n1001,97.2581227497399,70.37140016474424,9.981080436706543,12.350913429260254,5.0,0.1918751196927181,1
reshape-n1002,128.5908326545906,80.591181202826,11.50461769104004,14.071184794108072,3.0,0.1823987916172284,1
reshape-n1004,103.92572197803273,73.21240586088526,10.065152168273926,13.117945671081545,3.0,0.2327188707251234,1
reshape-n1005,117.99374262570144,76.23036532662107,10.786105700901576,13.379850660051618,7.0,0.1938545522704687,1
reshape-n1006,124.55281895896388,79.66784540027423,11.093944549560549,14.167396863301596,6.0,0.2169383933686745,1
reshape-n1007,99.3873944671059,72.03133864585729,9.535075855255126,13.216002273559573,5.0,0.2785204135193473,1
reshape-n1008,111.96300881709638,75.86202587713461,10.4375422000885,13.602569341659546,4.0,0.2326786257856272,1
reshape-n100,94.84947432481636,69.94682601920775,9.550509316580635,12.602134023393903,7.0,0.242151424603833,1
reshape-n1010,98.53142907767074,70.44079027880615,10.317174094063896,12.06002712249756,7.0,0.1445148514784376,1
reshape-n1011,113.44918496812384,76.46266872542391,10.657074356079102,13.572387886047364,5.0,0.2147973926507989,1
reshape-n1012,101.70098595690614,70.74300641735869,10.486257235209148,11.998603185017904,3.0,0.1260435007715858,1
reshape-n1013,83.111408392855,64.1779339022912,9.69167413711548,10.721521377563477,5.0,0.09605420762422,1
reshape-n1014,98.66655958198058,71.03267527105344,10.108072280883787,12.43781328201294,2.0,0.1873111412999203,1
reshape-n1015,97.9612038139118,70.28422260368608,10.320048809051514,12.003914833068848,4.0,0.1402764054422108,1
reshape-n1016,99.22230641802798,71.27006472923065,9.938303589820862,12.661028027534485,8.0,0.215047658988859,1
reshape-n1017,103.79102076460153,72.47476276913099,10.60437806447347,12.42861525217692,3.0,0.1467771872159231,1
reshape-n1018,108.4851614590902,74.55500925718891,10.372129249572756,13.26579236984253,10.0,0.2181296857056207,1
reshape-n1019,103.72497281106222,72.86782168335797,10.34563128153483,12.774735450744627,3.0,0.1901490781218648,1
reshape-n101,91.19836796820944,68.19776582523632,9.47922649383545,12.140409469604492,10.0,0.2192004299716373,1
reshape-n1021,102.78820206646394,72.21788187191869,10.51281229654948,12.43019930521647,3.0,0.154252314189551,1
reshape-n1023,46.09712241396612,48.085859502034815,7.1827659077114525,8.10544130537245,9.0,0.1138340730503383,1
reshape-n1025,45.376992083493946,48.03784125660605,6.948964422399348,8.308695663105357,11.0,0.1636515881480503,1
reshape-n1027,55.029613721578166,50.83583456135211,7.217049241065979,8.906319618225098,6.0,0.1896709807833919,1
reshape-n1028,47.85584444719561,49.12839483699271,7.268045822779338,8.348274072011312,6.0,0.1293953983678593,1
reshape-n1029,40.91357082761152,46.0290362672248,6.3714901606241865,8.206976572672525,3.0,0.2236495249858657,1
reshape-n102,100.2374150338498,72.03448285244774,9.809344821506077,12.996581819322374,9.0,0.2452365585140044,1
reshape-n1030,46.10736710782356,48.45600150773887,6.8733580762689765,8.501947923140092,11.0,0.1915549073687592,1
reshape-n1033,53.01497965997722,52.92649505350731,6.823851919174194,9.87291612625122,10.0,0.3088311668089462,1
reshape-n1034,40.82822532272517,45.75445251796439,6.211061557133992,8.26477837562561,6.0,0.2484902468223971,1
reshape-n1035,54.316961516066726,53.31022070511545,7.006688197453816,9.835028330485024,6.0,0.2875782395323029,1
reshape-n1036,51.771321069558006,51.8182667129184,7.01068605695452,9.391280038016182,7.0,0.2534898300790676,1
reshape-n1037,45.01376027963569,48.349041782812265,6.500613516027277,8.796965772455389,11.0,0.2610391259698125,1
reshape-n1038,40.82424667368036,45.66123680417095,6.365684668223064,8.115216732025146,3.0,0.2155866098927326,1
reshape-n103,90.1641736512862,67.85284908659065,9.618578553199768,11.909358501434326,8.0,0.1923512461194835,1
reshape-n1040,39.59520567354604,45.17507307489223,6.184706687927246,8.124896594456263,7.0,0.2387956429935167,1
reshape-n1041,46.67204079956859,49.103979189873336,6.543931431240505,8.984273539649116,9.0,0.2716237542900903,1
reshape-n1042,124.42699044508738,78.6679186462225,11.259716987609862,13.715820789337158,2.0,0.1790708583504314,1
reshape-n1043,48.84525195244506,50.20157146178711,6.896251678466797,9.00912628173828,5.0,0.2345260280738134,1
reshape-n1044,54.97353159990792,53.72294637725698,7.072864373524983,9.902107238769531,3.0,0.2857212911376345,1
reshape-n1047,126.4246774360698,80.15390033307575,11.373249689737955,14.067943255106607,3.0,0.1915485097219516,1
reshape-n1048,132.47278861461228,82.36548711768987,11.571640491485596,14.556064367294312,4.0,0.2050295877032771,1
reshape-n1049,41.5197913615742,45.79102359372438,6.50112372636795,8.023649990558624,8.0,0.1897548205594985,1
reshape-n104,122.6393246024878,78.30461186859159,11.633062934875488,13.25883674621582,5.0,0.1226181332841541,1
reshape-n1051,132.30596187059237,82.83881572610318,11.166732788085938,15.052933692932127,4.0,0.2581690044028358,1
reshape-n1052,132.5066148118551,82.175145947074,11.560651779174805,14.496575355529783,4.0,0.2025253209362346,1
reshape-n1053,139.0266537821585,83.4971645829988,12.402029037475586,14.143600940704346,2.0,0.1231349718172994,1
reshape-n1054,80.56853001557165,63.17289917466767,8.966870784759521,11.062209129333496,3.0,0.1894140962330749,1
reshape-n1055,126.20730049468813,81.41031185449523,10.64421787261963,15.06008701324463,5.0,0.2932167082926847,1
reshape-n1056,127.18355138579771,80.62439456914686,11.428247451782228,14.151564025878908,5.0,0.192439264601182,1
reshape-n1057,140.66229005905828,84.9275303948367,11.927551078796387,14.992251205444337,5.0,0.2044189418020839,1
reshape-n1058,135.0985112079236,83.0767460872619,11.51068925857544,14.825920820236206,4.0,0.2236104996011943,1
reshape-n105,106.81584016098286,73.92226600128987,10.229024505615234,13.202826881408692,5.0,0.2252398219339648,1
reshape-n1060,45.44153997568439,45.75114237280478,6.100973904132843,8.361789226531982,4.0,0.2703745886377482,1
reshape-n1061,37.944603310923206,43.88081518146313,5.685700988769531,8.16520290374756,5.0,0.3036669075106534,1
reshape-n1064,45.036263793181874,48.77003063892448,6.284679889678955,9.098041772842407,4.0,0.3092271890376804,1
reshape-n1065,149.01954718323393,86.96158315141565,12.669299761454264,14.962705294291178,3.0,0.1532747914049963,1
reshape-n1067,54.127957893024025,52.62104611416871,6.853775382041931,9.73361086845398,8.0,0.2958650726161053,1
reshape-n1069,46.47095151388351,49.24336362659904,6.499754810333252,9.04943389892578,5.0,0.2817501201810192,1
reshape-n106,79.07686639918012,63.15615729061769,8.91971488793691,11.104167739550272,12.0,0.196723689955879,1
reshape-n1076,163.54070150763332,90.01407951473904,13.350037574768066,15.26829957962036,4.0,0.12563691161868,1
reshape-n1078,36.440847355207104,43.27087798277569,5.616262276967366,8.04770040512085,6.0,0.3021283106670235,1
reshape-n107,102.8498309976016,72.42794200761357,10.265953222910564,12.709972461064655,12.0,0.1922914660626548,1
reshape-n1087,166.1679245325083,90.94943703794203,13.373456001281738,15.52246928215027,4.0,0.1384453234730986,1
reshape-n1089,88.27372672488015,62.56580059139928,8.021531263987223,11.66905721028646,6.0,0.3125810320891978,1
reshape-n1092,119.39589297539916,77.80160220517406,11.355616569519045,13.366364161173502,3.0,0.150433398896557,1
reshape-n1093,128.84545851924702,82.29007693023703,10.770018815994264,15.217166900634766,8.0,0.2922454694543038,1
reshape-n1094,92.4366358156308,68.32452672388106,10.250688076019289,11.479871273040771,2.0,0.1070729076821693,1
reshape-n1095,114.80732006733872,76.30513586913062,11.172937393188477,13.068321704864502,2.0,0.1450365513247577,1
reshape-n1096,114.37068010919408,76.53281166833867,10.727698707580569,13.546517181396483,5.0,0.2080843685554111,1
reshape-n1097,116.32414562918808,77.05703208771932,10.893862088521322,13.5428737004598,6.0,0.1956018841000149,1
reshape-n1098,156.9707389617178,88.63477650860935,12.581305980682371,15.536717057228088,8.0,0.1902210786010795,1
reshape-n1099,120.26309682369656,77.86597754110338,11.48642349243164,13.265236735343931,8.0,0.134095853575897,1
reshape-n109,118.524849109559,77.18467031376466,11.308469200134278,13.214448738098143,5.0,0.1442345099473426,1
reshape-n1100,121.44086898425226,78.8842137834876,11.078509330749512,13.944954872131348,5.0,0.2055543074657314,1
reshape-n1101,108.72933713764084,74.34861142051308,10.791394233703612,12.828800837198893,3.0,0.1588150466556108,1
reshape-n1102,114.09480881913362,76.19594389500024,10.752162456512451,13.4193647702535,6.0,0.1987577176270962,1
reshape-n1103,111.3140233759976,75.17545409554506,11.101728916168211,12.78729486465454,2.0,0.131815678478285,1
reshape-n1104,106.76862572169244,73.73019833384187,10.283998489379885,13.096363544464111,6.0,0.2147439665626131,1
reshape-n1105,119.21827201195306,78.07769867778079,10.840335051218668,13.903712590535482,6.0,0.2203280252931949,1
reshape-n1106,109.51367723543972,74.72463893061249,10.652543067932127,13.064787292480467,5.0,0.1846370836773381,1
reshape-n1107,114.5299402873375,76.81715278275819,10.426491737365724,13.89176025390625,5.0,0.2494477627891771,1
reshape-n1108,123.11137817159248,79.47044536274221,11.056788444519045,14.140349706013998,6.0,0.2180682462318093,1
reshape-n1109,155.72080894880915,88.97535210760033,12.732855796813965,15.508491924830846,7.0,0.1789752441095045,1
reshape-n110,89.6990777197454,66.99558255149856,9.778630603443492,11.501404242082076,11.0,0.1497881130319017,1
reshape-n1110,125.19691920890554,80.98780326777413,10.684827995300292,14.90301742553711,5.0,0.2830426422912669,1
reshape-n1111,156.82087427756716,90.84966307818284,11.865282773971558,16.833280563354492,4.0,0.2951295067343026,1
reshape-n1112,139.26588721259768,84.72690408424009,11.830120658874511,15.025042533874512,5.0,0.2126397890586287,1
reshape-n1113,179.1476372003579,95.75521323627744,13.327558040618896,17.038766384124756,2.0,0.2178096852694477,1
reshape-n1115,124.72440750361872,79.34075943509819,11.399153436933243,13.789294787815638,7.0,0.1733331100437673,1
reshape-n1117,110.7920228435566,74.68816757323783,10.95935026804606,12.77431583404541,6.0,0.1420792776363179,1
reshape-n1118,146.75972938560292,88.12588182644758,11.350985050201416,16.46192455291748,2.0,0.3104703515246201,1
reshape-n1119,137.0107919630689,83.91279581981793,11.747539520263672,14.853316307067873,3.0,0.2090965224598585,1
reshape-n111,96.4217865109,69.0516564084877,10.170870860417685,11.769541104634603,12.0,0.1358311449872413,1
reshape-n1120,164.1970099804723,91.7101900084598,12.856758308410644,16.218726921081544,5.0,0.2072893038417781,1
reshape-n1124,131.36063199695735,82.94062162996572,11.00862471262614,15.20955753326416,3.0,0.2762034866201954,1
reshape-n1125,140.7573963682328,86.34685088544819,11.099897384643556,16.14717674255371,3.0,0.3125796811654838,1
reshape-n1126,35.929934390313264,43.53314241600824,5.6617724895477295,8.06600284576416,8.0,0.2980696141805858,1
reshape-n1127,118.1786622373466,77.88640837923732,10.95194403330485,13.743902842203775,3.0,0.2031416287610519,1
reshape-n112,100.20732676107686,70.95288832830717,10.519079208374023,12.035202707563128,7.0,0.1259740725626787,1
reshape-n1130,114.03544564508115,76.4732161482755,10.681877136230469,13.56646203994751,4.0,0.2126261729272639,1
reshape-n1131,132.646158403946,80.17862725012878,11.698529815673828,13.775049209594728,5.0,0.1507449710215585,1
reshape-n1132,104.72894732809549,73.29788406266086,10.397743225097656,12.854945182800291,2.0,0.1911483808573786,1
reshape-n1134,35.01794385060799,42.589518215865226,5.593688726425171,7.858112859725952,10.0,0.2881638599142939,1
reshape-n1138,117.21977766409805,77.87308535240491,10.582817395528158,14.0713259379069,6.0,0.2479161208952605,1
reshape-n113,108.20391641630708,73.50223513204205,10.843960857391355,12.511246490478516,10.0,0.1332629514058429,1
reshape-n1140,121.73115172730884,79.76376598389302,10.650078455607096,14.55551052093506,6.0,0.2683129567809261,1
reshape-n1141,114.95698402462077,77.97899185535671,10.052566289901732,14.558509826660156,4.0,0.3095058210220768,1
reshape-n1142,153.8024074894037,88.29412339259378,12.733377695083618,15.30626893043518,4.0,0.1680939520300465,1
